Gene,description
K00674,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
K00675,N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
K00677,UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K00679,phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
K00680,uncharacterized N-acetyltransferase [EC:2.3.1.-]
K00681,gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K00682,gamma-glutamylcyclotransferase [EC:4.3.2.9]
K00683,glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
K00684,leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K00688,glycogen phosphorylase [EC:2.4.1.1]
K00690,sucrose phosphorylase [EC:2.4.1.7]
K00691,maltose phosphorylase [EC:2.4.1.8]
K00693,glycogen synthase [EC:2.4.1.11]
K00694,cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00696,sucrose-phosphate synthase [EC:2.4.1.14]
K00697,trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K00698,chitin synthase [EC:2.4.1.16]
K00700,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
K00702,cellobiose phosphorylase [EC:2.4.1.20]
K00703,starch synthase [EC:2.4.1.21]
K00705,4-alpha-glucanotransferase [EC:2.4.1.25]
K00710,polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
K00718,galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]
K00720,ceramide glucosyltransferase [EC:2.4.1.80]
K00721,dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
K00726,"alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]"
K00728,dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
K00729,dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
K00736,"alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]"
K00737,"beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]"
K00748,lipid-A-disaccharide synthase [EC:2.4.1.182]
K00754,L-malate glycosyltransferase [EC:2.4.1.-]
K00756,pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
K00757,uridine phosphorylase [EC:2.4.2.3]
K00758,thymidine phosphorylase [EC:2.4.2.4]
K00759,adenine phosphoribosyltransferase [EC:2.4.2.7]
K00760,hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
K00761,uracil phosphoribosyltransferase [EC:2.4.2.9]
K00762,orotate phosphoribosyltransferase [EC:2.4.2.10]
K00763,nicotinate phosphoribosyltransferase [EC:6.3.4.21]
K00764,amidophosphoribosyltransferase [EC:2.4.2.14]
K00765,ATP phosphoribosyltransferase [EC:2.4.2.17]
K00766,anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K00767,nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K00768,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
K00769,xanthine phosphoribosyltransferase [EC:2.4.2.22]
K00772,5--methylthioadenosine phosphorylase [EC:2.4.2.28]
K00773,queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K00782,L-lactate dehydrogenase complex protein LldG
K00783,23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
K00784,ribonuclease Z [EC:3.1.26.11]
K00787,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00788,thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
K00789,S-adenosylmethionine synthetase [EC:2.5.1.6]
K00790,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00791,tRNA dimethylallyltransferase [EC:2.5.1.75]
K00793,riboflavin synthase [EC:2.5.1.9]
K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
K00795,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00796,dihydropteroate synthase [EC:2.5.1.15]
K00797,spermidine synthase [EC:2.5.1.16]
K00798,cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K00799,glutathione S-transferase [EC:2.5.1.18]
K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
K00801,farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
K00803,alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]
K00804,"geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31]
K00808,homospermidine synthase [EC:2.5.1.44]
K00809,deoxyhypusine synthase [EC:2.5.1.46]
K00812,aspartate aminotransferase [EC:2.6.1.1]
K00813,aspartate aminotransferase [EC:2.6.1.1]
K00817,histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00818,acetylornithine aminotransferase [EC:2.6.1.11]
K00819,ornithine--oxo-acid transaminase [EC:2.6.1.13]
K00820,glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K00821,acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
K00822,beta-alanine--pyruvate transaminase [EC:2.6.1.18]
K00824,D-alanine transaminase [EC:2.6.1.21]
K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42]
K00827,alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
K00830,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
K00831,phosphoserine aminotransferase [EC:2.6.1.52]
K00832,aromatic-amino-acid transaminase [EC:2.6.1.57]
K00833,adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K00835,valine--pyruvate aminotransferase [EC:2.6.1.66]
K00836,diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
K00837,aromatic aminotransferase [EC:2.6.1.-]
K00839,(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]
K00840,succinylornithine aminotransferase [EC:2.6.1.81]
K00841,aminotransferase [EC:2.6.1.-]
K00845,glucokinase [EC:2.7.1.2]
K00846,ketohexokinase [EC:2.7.1.3]
K00847,fructokinase [EC:2.7.1.4]
K00848,rhamnulokinase [EC:2.7.1.5]
K00849,galactokinase [EC:2.7.1.6]
K00850,6-phosphofructokinase 1 [EC:2.7.1.11]
K00851,gluconokinase [EC:2.7.1.12]
K00852,ribokinase [EC:2.7.1.15]
K00853,L-ribulokinase [EC:2.7.1.16]
K00854,xylulokinase [EC:2.7.1.17]
K00855,phosphoribulokinase [EC:2.7.1.19]
K00856,adenosine kinase [EC:2.7.1.20]
K00857,thymidine kinase [EC:2.7.1.21]
K00858,NAD+ kinase [EC:2.7.1.23]
K00859,dephospho-CoA kinase [EC:2.7.1.24]
K00860,adenylylsulfate kinase [EC:2.7.1.25]
K00862,erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]
K00863,triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
K00864,glycerol kinase [EC:2.7.1.30]
K00865,glycerate 2-kinase [EC:2.7.1.165]
K00867,type I pantothenate kinase [EC:2.7.1.33]
K00868,pyridoxine kinase [EC:2.7.1.35]
K00869,mevalonate kinase [EC:2.7.1.36]
K00872,homoserine kinase [EC:2.7.1.39]
K00873,pyruvate kinase [EC:2.7.1.40]
K00874,2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
K00875,D-ribulokinase [EC:2.7.1.47]
K00876,uridine kinase [EC:2.7.1.48]
K00878,hydroxyethylthiazole kinase [EC:2.7.1.50]
K00879,L-fuculokinase [EC:2.7.1.51]
K00880,L-xylulokinase [EC:2.7.1.53]
K00882,1-phosphofructokinase [EC:2.7.1.56]
K00883,2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]
K00885,N-acylmannosamine kinase [EC:2.7.1.60]
K00886,polyphosphate glucokinase [EC:2.7.1.63]
K00889,1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
K00891,shikimate kinase [EC:2.7.1.71]
K00892,inosine kinase [EC:2.7.1.73]
K00895,diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
K00897,kanamycin kinase [EC:2.7.1.95]
K00899,5-methylthioribose kinase [EC:2.7.1.100]
K00901,diacylglycerol kinase (ATP) [EC:2.7.1.107]
K00902,dolichol kinase [EC:2.7.1.108]
K00903,protein-tyrosine kinase [EC:2.7.10.2]
K00906,isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
K00912,tetraacyldisaccharide 4--kinase [EC:2.7.1.130]
K00915,inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]
K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
K00925,acetate kinase [EC:2.7.2.1]
K00926,carbamate kinase [EC:2.7.2.2]
K00927,phosphoglycerate kinase [EC:2.7.2.3]
K00928,aspartate kinase [EC:2.7.2.4]
K00930,acetylglutamate kinase [EC:2.7.2.8]
K00931,glutamate 5-kinase [EC:2.7.2.11]
K00933,creatine kinase [EC:2.7.3.2]
K00936,"two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"
K00937,polyphosphate kinase [EC:2.7.4.1]
K00938,phosphomevalonate kinase [EC:2.7.4.2]
K00939,adenylate kinase [EC:2.7.4.3]
K00940,nucleoside-diphosphate kinase [EC:2.7.4.6]
K00941,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
K00942,guanylate kinase [EC:2.7.4.8]
K00943,dTMP kinase [EC:2.7.4.9]
K00945,CMP/dCMP kinase [EC:2.7.4.25]
K00946,thiamine-monophosphate kinase [EC:2.7.4.16]
K00947,molybdenum storage protein
K00948,ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K00949,thiamine pyrophosphokinase [EC:2.7.6.2]
K00950,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K00952,nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]
K00953,FAD synthetase [EC:2.7.7.2]
K00954,pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K00955,bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
K00956,sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
K00957,sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00958,sulfate adenylyltransferase [EC:2.7.7.4]
K00962,polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
K00963,UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K00965,UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
K00966,mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00969,nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K00970,poly(A) polymerase [EC:2.7.7.19]
K00971,mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00972,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]
K00973,glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
K00974,tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
K00975,glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
K00978,glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K00979,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K00980,glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]
K00981,phosphatidate cytidylyltransferase [EC:2.7.7.41]
K00982,[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
K00986,RNA-directed DNA polymerase [EC:2.7.7.49]
K00989,ribonuclease PH [EC:2.7.7.56]
K00990,[protein-PII] uridylyltransferase [EC:2.7.7.59]
K00991,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K00992,N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
K00995,CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
K00997,holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K00998,CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K01000,phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K01001,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]
K01002,phosphoglycerol transferase [EC:2.7.8.20]
K01003,oxaloacetate decarboxylase [EC:4.1.1.112]
K01004,phosphatidylcholine synthase [EC:2.7.8.24]
K01005,polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-]
K01006,"pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
K01007,"pyruvate, water dikinase [EC:2.7.9.2]"
K01008,"selenide, water dikinase [EC:2.7.9.3]"
K01009,L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]
K01011,thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
K01012,biotin synthase [EC:2.8.1.6]
K01021,protein-tyrosine sulfotransferase [EC:2.8.2.20]
K01023,arylsulfate sulfotransferase [EC:2.8.2.22]
K01026,propionate CoA-transferase [EC:2.8.3.1]
K01027,3-oxoacid CoA-transferase [EC:2.8.3.5]
K01028,3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
K01029,3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
K01031,"3-oxoadipate CoA-transferase, alpha subunit [EC:2.8.3.6]"
K01032,"3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]"
K01034,acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
K01039,"glutaconate CoA-transferase, subunit A [EC:2.8.3.12]"
K01040,"glutaconate CoA-transferase, subunit B [EC:2.8.3.12]"
K01042,L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K01045,arylesterase / paraoxonase [EC:3.1.1.2 3.1.8.1]
K01046,triacylglycerol lipase [EC:3.1.1.3]
K01048,lysophospholipase [EC:3.1.1.5]
K01051,pectinesterase [EC:3.1.1.11]
K01052,lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]
K01053,gluconolactonase [EC:3.1.1.17]
K01054,acylglycerol lipase [EC:3.1.1.23]
K01055,3-oxoadipate enol-lactonase [EC:3.1.1.24]
K01056,"peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"
K01057,6-phosphogluconolactonase [EC:3.1.1.31]
K01058,phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]
K01060,cephalosporin-C deacetylase [EC:3.1.1.41]
K01061,carboxymethylenebutenolidase [EC:3.1.1.45]
K01062,platelet-activating factor acetylhydrolase [EC:3.1.1.47]
K01066,acetyl esterase [EC:3.1.1.-]
K01069,hydroxyacylglutathione hydrolase [EC:3.1.2.6]
K01070,S-formylglutathione hydrolase [EC:3.1.2.12]
K01075,4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]
K01076,abhydrolase domain-containing protein 17 [EC:3.1.2.22]
K01077,alkaline phosphatase [EC:3.1.3.1]
K01079,phosphoserine phosphatase [EC:3.1.3.3]
K01080,phosphatidate phosphatase [EC:3.1.3.4]
K01081,5--nucleotidase [EC:3.1.3.5]
K01082,"3-(2-), 5--bisphosphate nucleotidase [EC:3.1.3.7]"
K01083,3-phytase [EC:3.1.3.8]
K01085,glucose-1-phosphatase [EC:3.1.3.10]
K01087,trehalose 6-phosphate phosphatase [EC:3.1.3.12]
K01089,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]
K01091,phosphoglycolate phosphatase [EC:3.1.3.18]
K01092,myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K01093,4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]
K01095,phosphatidylglycerophosphatase A [EC:3.1.3.27]
K01096,phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27]
K01097,N-acylneuraminate-9-phosphatase [EC:3.1.3.29]
K01101,4-nitrophenyl phosphatase [EC:3.1.3.41]
K01104,protein-tyrosine phosphatase [EC:3.1.3.48]
K01112,phosphohistidine phosphatase [EC:3.9.1.3]
K01113,alkaline phosphatase D [EC:3.1.3.1]
K01114,phospholipase C [EC:3.1.4.3]
K01115,phospholipase D1/2 [EC:3.1.4.4]
K01118,FMN-dependent NADH-azoreductase [EC:1.7.1.17]
K01119,"2-,3--cyclic-nucleotide 2--phosphodiesterase / 3--nucleotidase [EC:3.1.4.16 3.1.3.6]"
K01126,glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
K01129,dGTPase [EC:3.1.5.1]
K01130,arylsulfatase [EC:3.1.6.1]
K01133,choline-sulfatase [EC:3.1.6.6]
K01134,arylsulfatase A [EC:3.1.6.8]
K01135,arylsulfatase B [EC:3.1.6.12]
K01136,iduronate 2-sulfatase [EC:3.1.6.13]
K01137,N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]
K01139,"GTP diphosphokinase / guanosine-3-,5--bis(diphosphate) 3--diphosphatase [EC:2.7.6.5 3.1.7.2]"
K01141,exodeoxyribonuclease I [EC:3.1.11.1]
K01142,exodeoxyribonuclease III [EC:3.1.11.2]
K01144,exodeoxyribonuclease V [EC:3.1.11.5]
K01146,protein Xni
K01147,exoribonuclease II [EC:3.1.13.1]
K01148,poly(A)-specific ribonuclease [EC:3.1.13.4]
K01150,deoxyribonuclease I [EC:3.1.21.1]
K01151,deoxyribonuclease IV [EC:3.1.21.2]
K01152,isftu1 transposase
K01153,"type I restriction enzyme, R subunit [EC:3.1.21.3]"
K01154,"type I restriction enzyme, S subunit [EC:3.1.21.3]"
K01155,type II restriction enzyme [EC:3.1.21.4]
K01156,type III restriction enzyme [EC:3.1.21.5]
K01159,crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
K01160,crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]
K01161,deoxyribonuclease (pyrimidine dimer) [EC:3.1.25.1]
K01163,uncharacterized protein
K01166,ribonuclease T2 [EC:4.6.1.19]
K01167,ribonuclease T1 [EC:4.6.1.24]
K01170,"tRNA-intron endonuclease, archaea type [EC:4.6.1.16]"
K01173,"endonuclease G, mitochondrial"
K01174,micrococcal nuclease [EC:3.1.31.1]
K01175,esterase [EC:3.1.-.-]
K01176,alpha-amylase [EC:3.2.1.1]
K01178,glucoamylase [EC:3.2.1.3]
K01179,endoglucanase [EC:3.2.1.4]
K01180,"endo-1,3(4)-beta-glucanase [EC:3.2.1.6]"
K01181,"endo-1,4-beta-xylanase [EC:3.2.1.8]"
K01182,"oligo-1,6-glucosidase [EC:3.2.1.10]"
K01183,chitinase [EC:3.2.1.14]
K01185,lysozyme [EC:3.2.1.17]
K01186,sialidase-1 [EC:3.2.1.18]
K01187,alpha-glucosidase [EC:3.2.1.20]
K01190,beta-galactosidase [EC:3.2.1.23]
K01191,alpha-mannosidase [EC:3.2.1.24]
K01192,beta-mannosidase [EC:3.2.1.25]
K01193,beta-fructofuranosidase [EC:3.2.1.26]
K01194,"alpha,alpha-trehalase [EC:3.2.1.28]"
K01195,beta-glucuronidase [EC:3.2.1.31]
K01198,"xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K01200,pullulanase [EC:3.2.1.41]
K01201,glucosylceramidase [EC:3.2.1.45]
K01202,galactosylceramidase [EC:3.2.1.46]
K01205,alpha-N-acetylglucosaminidase [EC:3.2.1.50]
K01206,alpha-L-fucosidase [EC:3.2.1.51]
K01207,beta-N-acetylhexosaminidase [EC:3.2.1.52]
K01208,cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]
K01209,alpha-L-arabinofuranosidase [EC:3.2.1.55]
K01210,"glucan 1,3-beta-glucosidase [EC:3.2.1.58]"
K01214,isoamylase [EC:3.2.1.68]
K01218,"mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
K01224,"arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]"
K01226,trehalose-6-phosphate hydrolase [EC:3.2.1.93]
K01236,maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]
K01239,purine nucleosidase [EC:3.2.2.1]
K01241,AMP nucleosidase [EC:3.2.2.4]
K01243,adenosylhomocysteine nucleosidase [EC:3.2.2.9]
K01244,5--methylthioadenosine nucleosidase [EC:3.2.2.16]
K01246,DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
K01247,DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K01250,pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]
K01251,adenosylhomocysteinase [EC:3.3.1.1]
K01252,bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]
K01254,leukotriene-A4 hydrolase [EC:3.3.2.6]
K01255,leucyl aminopeptidase [EC:3.4.11.1]
K01256,aminopeptidase N [EC:3.4.11.2]
K01258,tripeptide aminopeptidase [EC:3.4.11.4]
K01259,proline iminopeptidase [EC:3.4.11.5]
K01262,Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01263,cytosol alanyl aminopeptidase [EC:3.4.11.14]
K01265,methionyl aminopeptidase [EC:3.4.11.18]
K01266,D-aminopeptidase [EC:3.4.11.19]
K01267,aspartyl aminopeptidase [EC:3.4.11.21]
K01270,dipeptidase D [EC:3.4.13.-]
K01271,Xaa-Pro dipeptidase [EC:3.4.13.9]
K01273,membrane dipeptidase [EC:3.4.13.19]
K01277,dipeptidyl-peptidase III [EC:3.4.14.4]
K01278,dipeptidyl-peptidase 4 [EC:3.4.14.5]
K01279,tripeptidyl-peptidase I [EC:3.4.14.9]
K01280,tripeptidyl-peptidase II [EC:3.4.14.10]
K01281,X-Pro dipeptidyl-peptidase [EC:3.4.14.11]
K01283,peptidyl-dipeptidase A [EC:3.4.15.1]
K01284,peptidyl-dipeptidase Dcp [EC:3.4.15.5]
K01286,D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
K01295,glutamate carboxypeptidase [EC:3.4.17.11]
K01297,muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
K01299,carboxypeptidase Taq [EC:3.4.17.19]
K01301,N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
K01302,carboxypeptidase Q [EC:3.4.17.-]
K01303,acylaminoacyl-peptidase [EC:3.4.19.1]
K01304,pyroglutamyl-peptidase [EC:3.4.19.3]
K01305,beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]
K01307,gamma-glutamyl hydrolase [EC:3.4.19.9]
K01309,ubiquitin carboxyl-terminal hydrolase MINDY-1/2 [EC:3.4.19.12]
K01318,glutamyl endopeptidase [EC:3.4.21.19]
K01322,prolyl oligopeptidase [EC:3.4.21.26]
K01336,cerevisin [EC:3.4.21.48]
K01337,lysyl endopeptidase [EC:3.4.21.50]
K01338,ATP-dependent Lon protease [EC:3.4.21.53]
K01354,oligopeptidase B [EC:3.4.21.83]
K01356,repressor LexA [EC:3.4.21.88]
K01358,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
K01372,bleomycin hydrolase [EC:3.4.22.40]
K01387,microbial collagenase [EC:3.4.24.3]
K01392,thimet oligopeptidase [EC:3.4.24.15]
K01400,bacillolysin [EC:3.4.24.28]
K01406,serralysin [EC:3.4.24.40]
K01407,protease III [EC:3.4.24.55]
K01409,N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
K01411,nardilysin [EC:3.4.24.61]
K01414,oligopeptidase A [EC:3.4.24.70]
K01417,extracellular elastinolytic metalloproteinase [EC:3.4.24.-]
K01419,"ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
K01420,"CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
K01421,putative membrane protein
K01423,beta-barrel assembly-enhancing protease [EC:3.4.-.-]
K01424,L-asparaginase [EC:3.5.1.1]
K01425,glutaminase [EC:3.5.1.2]
K01426,amidase [EC:3.5.1.4]
K01427,urease [EC:3.5.1.5]
K01428,urease subunit alpha [EC:3.5.1.5]
K01429,urease subunit beta [EC:3.5.1.5]
K01430,urease subunit gamma [EC:3.5.1.5]
K01431,beta-ureidopropionase [EC:3.5.1.6]
K01432,arylformamidase [EC:3.5.1.9]
K01433,formyltetrahydrofolate deformylase [EC:3.5.1.10]
K01434,penicillin G amidase [EC:3.5.1.11]
K01436,amidohydrolase [EC:3.5.1.-]
K01438,acetylornithine deacetylase [EC:3.5.1.16]
K01439,succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01442,choloylglycine hydrolase [EC:3.5.1.24]
K01443,N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
K01444,N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
K01447,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01448,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01449,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01451,hippurate hydrolase [EC:3.5.1.32]
K01455,formamidase [EC:3.5.1.49]
K01457,allophanate hydrolase [EC:3.5.1.54]
K01458,N-formylglutamate deformylase [EC:3.5.1.68]
